Month,Tag,Cumulative
----------,----------------,----------
2008-08-01,c questions,83
2008-08-01,c++ questions,164
2008-08-01,java questions,222
2008-08-01,python questions,120
2008-09-01,c questions,401
2008-09-01,c++ questions,917
2008-09-01,java questions,1355
2008-09-01,python questions,657
2008-10-01,c questions,704
2008-10-01,c++ questions,1726
2008-10-01,java questions,2506
2008-10-01,python questions,1165
2008-11-01,c questions,963
2008-11-01,c++ questions,2460
2008-11-01,java questions,3463
2008-11-01,python questions,1617
2008-12-01,c questions,1152
2008-12-01,c++ questions,3091
2008-12-01,java questions,4291
2008-12-01,python questions,2056
2009-01-01,c questions,1471
2009-01-01,c++ questions,3942
2009-01-01,java questions,5439
2009-01-01,python questions,2687
2009-02-01,c questions,1803
2009-02-01,c++ questions,4784
2009-02-01,java questions,6645
2009-02-01,python questions,3316
2009-03-01,c questions,2233
2009-03-01,c++ questions,5835
2009-03-01,java questions,8080
2009-03-01,python questions,4080
2009-04-01,c questions,2690
2009-04-01,c++ questions,6854
2009-04-01,java questions,9611
2009-04-01,python questions,4847
2009-05-01,c questions,3170
2009-05-01,c++ questions,8069
2009-05-01,java questions,11426
2009-05-01,python questions,5845
2009-06-01,c questions,3670
2009-06-01,c++ questions,9319
2009-06-01,java questions,13539
2009-06-01,python questions,6887
2009-07-01,c questions,4209
2009-07-01,c++ questions,10784
2009-07-01,java questions,15794
2009-07-01,python questions,8047
2009-08-01,c questions,4739
2009-08-01,c++ questions,12184
2009-08-01,java questions,17981
2009-08-01,python questions,9183
2009-09-01,c questions,5311
2009-09-01,c++ questions,13645
2009-09-01,java questions,20242
2009-09-01,python questions,10348
2009-10-01,c questions,6086
2009-10-01,c++ questions,15330
2009-10-01,java questions,22744
2009-10-01,python questions,11768
2009-11-01,c questions,7045
2009-11-01,c++ questions,17079
2009-11-01,java questions,25504
2009-11-01,python questions,13322
2009-12-01,c questions,7895
2009-12-01,c++ questions,18732
2009-12-01,java questions,28190
2009-12-01,python questions,14911
2010-01-01,c questions,8875
2010-01-01,c++ questions,20730
2010-01-01,java questions,31916
2010-01-01,python questions,16857
2010-02-01,c questions,9909
2010-02-01,c++ questions,23006
2010-02-01,java questions,35492
2010-02-01,python questions,18719
2010-03-01,c questions,11023
2010-03-01,c++ questions,25441
2010-03-01,java questions,39935
2010-03-01,python questions,20792
2010-04-01,c questions,12204
2010-04-01,c++ questions,27930
2010-04-01,java questions,43820
2010-04-01,python questions,22604
2010-05-01,c questions,13385
2010-05-01,c++ questions,30350
2010-05-01,java questions,47990
2010-05-01,python questions,24612
2010-06-01,c questions,14540
2010-06-01,c++ questions,33175
2010-06-01,java questions,52271
2010-06-01,python questions,26817
2010-07-01,c questions,15827
2010-07-01,c++ questions,35859
2010-07-01,java questions,56787
2010-07-01,python questions,29408
2010-08-01,c questions,17192
2010-08-01,c++ questions,38495
2010-08-01,java questions,61489
2010-08-01,python questions,31898
2010-09-01,c questions,18567
2010-09-01,c++ questions,41228
2010-09-01,java questions,66205
2010-09-01,python questions,34144
2010-10-01,c questions,20008
2010-10-01,c++ questions,44161
2010-10-01,java questions,71232
2010-10-01,python questions,36816
2010-11-01,c questions,21683
2010-11-01,c++ questions,47536
2010-11-01,java questions,76828
2010-11-01,python questions,39422
2010-12-01,c questions,23151
2010-12-01,c++ questions,50673
2010-12-01,java questions,82506
2010-12-01,python questions,41904
2011-01-01,c questions,24611
2011-01-01,c++ questions,54164
2011-01-01,java questions,89044
2011-01-01,python questions,44806
2011-02-01,c questions,26246
2011-02-01,c++ questions,57606
2011-02-01,java questions,95914
2011-02-01,python questions,47817
2011-03-01,c questions,28355
2011-03-01,c++ questions,61785
2011-03-01,java questions,104388
2011-03-01,python questions,51566
2011-04-01,c questions,30393
2011-04-01,c++ questions,65948
2011-04-01,java questions,112286
2011-04-01,python questions,54906
2011-05-01,c questions,32216
2011-05-01,c++ questions,69830
2011-05-01,java questions,120853
2011-05-01,python questions,58418
2011-06-01,c questions,33978
2011-06-01,c++ questions,73640
2011-06-01,java questions,128763
2011-06-01,python questions,61886
2011-07-01,c questions,35635
2011-07-01,c++ questions,77490
2011-07-01,java questions,136923
2011-07-01,python questions,65548
2011-08-01,c questions,37459
2011-08-01,c++ questions,81442
2011-08-01,java questions,145613
2011-08-01,python questions,69375
2011-09-01,c questions,39373
2011-09-01,c++ questions,85386
2011-09-01,java questions,153944
2011-09-01,python questions,72895
2011-10-01,c questions,41511
2011-10-01,c++ questions,89741
2011-10-01,java questions,162507
2011-10-01,python questions,76520
2011-11-01,c questions,43709
2011-11-01,c++ questions,94224
2011-11-01,java questions,172160
2011-11-01,python questions,80398
2011-12-01,c questions,45714
2011-12-01,c++ questions,98586
2011-12-01,java questions,181372
2011-12-01,python questions,84019
2012-01-01,c questions,47948
2012-01-01,c++ questions,103134
2012-01-01,java questions,191522
2012-01-01,python questions,88231
2012-02-01,c questions,50355
2012-02-01,c++ questions,108239
2012-02-01,java questions,202482
2012-02-01,python questions,92724
2012-03-01,c questions,53086
2012-03-01,c++ questions,113474
2012-03-01,java questions,214890
2012-03-01,python questions,97763
2012-04-01,c questions,55755
2012-04-01,c++ questions,118783
2012-04-01,java questions,226923
2012-04-01,python questions,102683
2012-05-01,c questions,58238
2012-05-01,c++ questions,123773
2012-05-01,java questions,239109
2012-05-01,python questions,107785
2012-06-01,c questions,60547
2012-06-01,c++ questions,128423
2012-06-01,java questions,250212
2012-06-01,python questions,113064
2012-07-01,c questions,62918
2012-07-01,c++ questions,133702
2012-07-01,java questions,262463
2012-07-01,python questions,118788
2012-08-01,c questions,65235
2012-08-01,c++ questions,138863
2012-08-01,java questions,274717
2012-08-01,python questions,124648
2012-09-01,c questions,67764
2012-09-01,c++ questions,143772
2012-09-01,java questions,286333
2012-09-01,python questions,129896
2012-10-01,c questions,70915
2012-10-01,c++ questions,149685
2012-10-01,java questions,299826
2012-10-01,python questions,136022
2012-11-01,c questions,74109
2012-11-01,c++ questions,155953
2012-11-01,java questions,313434
2012-11-01,python questions,142411
2012-12-01,c questions,76671
2012-12-01,c++ questions,161635
2012-12-01,java questions,325850
2012-12-01,python questions,148164
2013-01-01,c questions,79576
2013-01-01,c++ questions,167674
2013-01-01,java questions,339556
2013-01-01,python questions,154728
2013-02-01,c questions,82667
2013-02-01,c++ questions,173738
2013-02-01,java questions,353244
2013-02-01,python questions,161451
2013-03-01,c questions,86106
2013-03-01,c++ questions,180919
2013-03-01,java questions,369145
2013-03-01,python questions,169067
2013-04-01,c questions,89630
2013-04-01,c++ questions,188039
2013-04-01,java questions,385367
2013-04-01,python questions,176996
2013-05-01,c questions,92825
2013-05-01,c++ questions,194865
2013-05-01,java questions,400632
2013-05-01,python questions,184797
2013-06-01,c questions,95761
2013-06-01,c++ questions,201050
2013-06-01,java questions,414557
2013-06-01,python questions,192390
2013-07-01,c questions,98776
2013-07-01,c++ questions,207626
2013-07-01,java questions,429751
2013-07-01,python questions,201000
2013-08-01,c questions,101785
2013-08-01,c++ questions,213875
2013-08-01,java questions,444820
2013-08-01,python questions,208936
2013-09-01,c questions,105181
2013-09-01,c++ questions,220428
2013-09-01,java questions,461097
2013-09-01,python questions,216901
2013-10-01,c questions,109421
2013-10-01,c++ questions,228403
2013-10-01,java questions,479826
2013-10-01,python questions,226387
2013-11-01,c questions,113710
2013-11-01,c++ questions,236535
2013-11-01,java questions,498600
2013-11-01,python questions,235880
2013-12-01,c questions,117211
2013-12-01,c++ questions,243548
2013-12-01,java questions,516058
2013-12-01,python questions,244340
2014-01-01,c questions,120945
2014-01-01,c++ questions,251242
2014-01-01,java questions,534745
2014-01-01,python questions,254181
2014-02-01,c questions,124919
2014-02-01,c++ questions,258918
2014-02-01,java questions,554002
2014-02-01,python questions,264077
2014-03-01,c questions,129481
2014-03-01,c++ questions,267586
2014-03-01,java questions,575988
2014-03-01,python questions,275499
2014-04-01,c questions,133492
2014-04-01,c++ questions,275726
2014-04-01,java questions,596894
2014-04-01,python questions,286272
2014-05-01,c questions,136754
2014-05-01,c++ questions,282509
2014-05-01,java questions,614871
2014-05-01,python questions,295519
2014-06-01,c questions,139528
2014-06-01,c++ questions,288183
2014-06-01,java questions,630798
2014-06-01,python questions,304434
2014-07-01,c questions,142365
2014-07-01,c++ questions,294453
2014-07-01,java questions,648183
2014-07-01,python questions,314350
2014-08-01,c questions,145042
2014-08-01,c++ questions,300332
2014-08-01,java questions,663922
2014-08-01,python questions,323466
2014-09-01,c questions,148276
2014-09-01,c++ questions,306522
2014-09-01,java questions,680627
2014-09-01,python questions,332240
2014-10-01,c questions,152079
2014-10-01,c++ questions,313359
2014-10-01,java questions,698529
2014-10-01,python questions,341823
2014-11-01,c questions,155748
2014-11-01,c++ questions,319914
2014-11-01,java questions,716375
2014-11-01,python questions,351391
2014-12-01,c questions,158901
2014-12-01,c++ questions,325994
2014-12-01,java questions,732754
2014-12-01,python questions,360430
2015-01-01,c questions,162110
2015-01-01,c++ questions,332122
2015-01-01,java questions,749293
2015-01-01,python questions,370108
2015-02-01,c questions,165474
2015-02-01,c++ questions,338595
2015-02-01,java questions,766051
2015-02-01,python questions,380307
2015-03-01,c questions,169391
2015-03-01,c++ questions,345986
2015-03-01,java questions,785820
2015-03-01,python questions,391914
2015-04-01,c questions,173342
2015-04-01,c++ questions,353130
2015-04-01,java questions,805643
2015-04-01,python questions,403365
2015-05-01,c questions,176864
2015-05-01,c++ questions,359947
2015-05-01,java questions,824195
2015-05-01,python questions,414585
2015-06-01,c questions,180032
2015-06-01,c++ questions,366464
2015-06-01,java questions,842052
2015-06-01,python questions,426398
2015-07-01,c questions,182845
2015-07-01,c++ questions,373164
2015-07-01,java questions,860754
2015-07-01,python questions,438722
2015-08-01,c questions,185416
2015-08-01,c++ questions,379035
2015-08-01,java questions,877852
2015-08-01,python questions,449946
2015-09-01,c questions,188499
2015-09-01,c++ questions,384947
2015-09-01,java questions,894803
2015-09-01,python questions,460913
2015-10-01,c questions,192177
2015-10-01,c++ questions,391996
2015-10-01,java questions,913352
2015-10-01,python questions,473400
2015-11-01,c questions,195791
2015-11-01,c++ questions,399082
2015-11-01,java questions,931140
2015-11-01,python questions,485697
2015-12-01,c questions,198879
2015-12-01,c++ questions,405643
2015-12-01,java questions,947700
2015-12-01,python questions,497358
2016-01-01,c questions,201926
2016-01-01,c++ questions,411741
2016-01-01,java questions,964341
2016-01-01,python questions,509709
2016-02-01,c questions,205204
2016-02-01,c++ questions,418299
2016-02-01,java questions,982192
2016-02-01,python questions,522958
2016-03-01,c questions,208652
2016-03-01,c++ questions,425320
2016-03-01,java questions,1002095
2016-03-01,python questions,537016
2016-04-01,c questions,212011
2016-04-01,c++ questions,432213
2016-04-01,java questions,1021579
2016-04-01,python questions,550678
2016-05-01,c questions,214733
2016-05-01,c++ questions,438348
2016-05-01,java questions,1038617
2016-05-01,python questions,563783
2016-06-01,c questions,217032
2016-06-01,c++ questions,444065
2016-06-01,java questions,1054534
2016-06-01,python questions,576691
2016-07-01,c questions,219378
2016-07-01,c++ questions,449535
2016-07-01,java questions,1069479
2016-07-01,python questions,589517
2016-08-01,c questions,221595
2016-08-01,c++ questions,454550
