Ruby,JavaScript,C,C++,Shell,Makefile,Assembly,Objective-C,TeX,Roff,M4,Ada,Pascal,C#,HTML,DIGITAL Command Language,Perl,CMake,DTrace,Python,CLIPS,Batchfile,SAS,Module Management System,PHP,GDB,VBScript,CSS,ActionScript,Ragel,CoffeeScript,Erlang,Emacs Lisp,Java,Groff,Arc,Scheme,Bison,Io
219981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948883.0,8925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652649.0,,23606977.0,3261903.0,1235618.0,866911.0,787717.0,643227.0,393275.0,224027.0,143616.0,89080.0,70297.0,55626.0,46773.0,27303.0,17595.0,17089.0,7173.0,6613.0,5291.0,4779.0,1847.0,1545.0,498.0,383.0,294.0,,,,,,,,,,,,
283939.0,6329.0,9261.0,,788.0,,,,,,,,,,2576.0,,,,,,,,,,,,,6486.0,,,,,,,,,,,
9677.0,126588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936.0,1531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21237.0,2032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815.0,124846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160.0,40947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735.0,82130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4239.0,,,,,,,,,,
4624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234048.0,148.0,41845.0,,1433.0,,,,,,,,,,19495.0,,,,,,,,,,,,,2210.0,,5790.0,,,,,,,,,
120261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,
674.0,121223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44151.0,25082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41169.0,25082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44672.0,115666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223548.0,,,,46905.0,,,,,492.0,,,,,,,3327.0,,,,,,,,,,,,,,,,,,,,,,
98.0,,8759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43506.0,115666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85817.0,32522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111970.0,25082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310480.0,8926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28474.0,11922.0,,25479.0,19051.0,,,,,,,,,16634.0,,,,,,,,,,,,,3265.0,,,,806248.0,4389.0,3585.0,1013.0,,,,
,28474.0,11922.0,,25479.0,19051.0,,,,,,,,,16634.0,,,,,,,,,,,,,3265.0,,,,806301.0,4389.0,3585.0,1013.0,,,,
6762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111425.0,605642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10865.0,,3675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
